,id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,game_time
12,qCmTWffu,1.0,55.0,mate,white,10+0,networkchess2,1940.0,tatianelongato,1847.0,d4 c6 Nf3 d5 c4 Nf6 Bg5 e6 e3 Be7 Nc3 O-O Bd3 dxc4 Bxc4 b5 Bd3 b4 Ne2 a5 O-O Nd5 Bxe7 Qxe7 Rc1 Ba6 Bxa6 Rxa6 Qd3 Rc8 e4 Nc7 Nf4 Ra7 Ne5 Nb5 Qxb5 f6 Nxc6 Rxc6 Qxb8+ Kf7 Rxc6 g5 Nxe6 Rb7 Qh8 Kg6 Nf8+ Kh6 Rxf6+ Kh5 f3 h6 Qxh6#,D11,Slav Defense: Bonet Gambit,7.0,47.07666666666667
13,DveJsZHo,1.0,24.0,resign,black,5+8,sammy111,1928.0,isaackg,1879.0,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nxd4 Qxd4 b6 Bc4 Bb7 O-O e6 Be3 Bc5 Nc3 Bxd4 Bxd4 Nf6 Bxf6 Qxf6 f4 Qe7,B32,Sicilian Defense: Open #3,7.0,14.212166666666667
14,QcDhDlEc,1.0,44.0,mate,black,10+10,flashundtibbers,1454.0,blforzainter,1260.0,e4 e5 Nf3 Nc6 Nc3 Nf6 Bb5 a6 Ba4 Bc5 O-O O-O d3 d5 Bg5 Ne7 Bxf6 gxf6 a3 d4 Ne2 Nc6 Bxc6 bxc6 c3 f5 cxd4 exd4 e5 f6 exf6 Qxf6 Qb3+ Be6 Qc2 Rf7 Qxc5 Rg7 Qxc6 Rc8 Qxa6 Qg6 Ne5 Qxg2#,C77,Ruy Lopez: Morphy Defense |  Tarrasch Variation,9.0,80.90283333333333
15,O9e3Nnvb,1.0,39.0,resign,white,10+0,chessdude88,1428.0,noobdude,1659.0,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 bxc6 Nxe5 Bd6 Qh5 Qf6 d4 Bxe5 Qxe5+ Qxe5 dxe5 d6 exd6 cxd6 Bf4 Ke7 O-O Bb7 Rd1 Rd8 Nc3 Nf6 e5 dxe5 Rxd8 Rxd8 Bxe5 Rd2 Re1 a5 Bf4+ Kf8 Bxd2,C68,Ruy Lopez: Exchange Variation |  Lutikov Variation,8.0,46.01733333333333
16,OWWFwZ6r,1.0,33.0,draw,draw,20+13,jeremi,1375.0,steelviper,1500.0,e4 Nf6 Nc3 d5 exd5 Nxd5 Nxd5 Qxd5 Nf3 Nc6 h3 e5 d3 Bc5 Be2 O-O O-O a6 Nh2 Qd6 Bf3 Be6 Rfe1 f6 a3 Bb6 b4 a5 Bd2 axb4 Bxc6 bxc6 Bxb4,B02,Alekhine Defense: Scandinavian Variation,4.0,118.068
17,Xwajy8oY,1.0,60.0,resign,white,7+5,1240100948,1662.0,shaariibuu,1408.0,d4 e5 dxe5 Qe7 Nf3 Qb4+ Nbd2 a5 c3 Qb5 e3 Qd5 Bc4 Qc5 O-O a4 a3 b5 Be2 Ba6 Ne4 Qb6 Nd4 b4 Bxa6 Nxa6 cxb4 c5 bxc5 Nxc5 Nxc5 Bxc5 Nf3 Nh6 Qd5 O-O Rd1 Ng4 h3 Nh6 Rb1 Nf5 Bd2 Ne7 Qd3 g6 Bc3 Nf5 Qd2 Bxe3 fxe3 Nxe3 Bd4 Qb3 Qxe3 Rfc8 Qh6 Qc2 Ng5 Qxd1+,A40,Englund Gambit,2.0,93.7395
18,KN2nh52B,1.0,117.0,mate,white,10+0,yura01061977,1666.0,jeepitou,1626.0,e4 d6 Nf3 Nf6 Nc3 g6 d3 Bg7 g3 O-O Bg2 Nc6 O-O e5 Bg5 Be6 Nd5 Nb8 Qd2 Re8 Bh6 Bh8 Ng5 Nxd5 exd5 f5 dxe6 f4 Nf7 Qe7 Bd5 Bf6 Bxb7 Qxe6 Ng5 Bxg5 Bxg5 Nd7 Bxa8 Rxa8 Qc3 Rc8 Qc4 Qxc4 dxc4 Nc5 gxf4 Ne4 Bh6 Nd2 fxe5 Nxf1 Kxf1 dxe5 Rd1 c5 Rd7 a6 Rg7+ Kh8 Re7 g5 Rxe5 Rc6 Bxg5 Rg6 h4 Kg7 Re7+ Kf8 Ra7 h6 Ra8+ Kf7 Ra7+ Kf8 Be7+ Ke8 Bxc5 Rc6 Ra8+ Kd7 Be3 Rxc4 Rxa6 Rxc2 Bxh6 Rxb2 Be3 Rb4 h5 Rh4 h6 Ke8 Ra7 Kf8 a4 Ke8 a5 Kf8 a6 Ra4 h7 Rh4 Rb7 Rh1+ Kg2 Rxh7 Rxh7 Kg8 Rd7 Kf8 a7 Ke8 Rh7 Kd8 a8=R#,B07,Pirc Defense #4,2.0,82.715
19,7zKhoCzQ,1.0,40.0,resign,black,5+5,peaopreto,1291.0,tjwds,1471.0,e4 e5 Nf3 Nc6 Bb5 Nf6 Bxc6 dxc6 Nxe5 Qe7 d4 Nxe4 Qe2 f6 Qxe4 fxe5 dxe5 g6 f3 Bf5 Qf4 Bxc2 O-O O-O-O Na3 Bd3 Rd1 Qc5+ Be3 Qe7 Bxa7 b6 Rd2 Bg7 Qa4 Qc5+ Kh1 Bxe5 Qa6+ Bxa6,C65,Ruy Lopez: Berlin Defense #2,6.0,55.937666666666665
20,ZKjUaBUK,1.0,2.0,resign,white,180+180,chiggen,1356.0,drakon1,913.0,e3 d6,A00,Van't Kruijs Opening,1.0,0.6515
21,UEj6oJlJ,0.0,58.0,resign,black,10+0,tux09,1536.0,joniwarrior,1500.0,e4 c5 Nf3 Nc6 Bc4 h6 O-O Nf6 d3 Nd4 c3 Nxf3+ Qxf3 Qc7 h3 e6 Bf4 Bd6 e5 Bxe5 Bxe5 Qxe5 Re1 Qg5 Na3 d5 Bb5+ Bd7 Bxd7+ Nxd7 Nb5 O-O b4 Ne5 Qe2 a6 Nd6 c4 d4 Nd3 Red1 Nf4 Qg4 Qxg4 hxg4 f5 gxf5 exf5 Nxb7 Ne2+ Kh1 Nxc3 Rdc1 Ne2 Rcb1 Nxd4 b5 Nxb5,B30,Sicilian Defense: Old Sicilian,4.0,94.06
22,YwAWtovY,0.0,24.0,resign,white,15+0,zher0,1709.0,shaeila89,1384.0,e4 e6 d4 d5 Nc3 c5 e5 Nc6 dxc5 Bxc5 Nf3 Qb6 Qe2 Bxf2+ Qxf2 Qxf2+ Kxf2 Nb4 a3 Nxc2 Rb1 f6 Bd3 Nd4,C10,French Defense: Marshall Variation,6.0,195.23566666666667
23,kCAaN0aX,1.0,57.0,mate,white,15+0,lusert,1314.0,davidc87,1398.0,d4 b6 c4 Nf6 Bf4 d6 e3 e5 dxe5 dxe5 Qxd8+ Kxd8 Bxe5 Bb4+ Bc3 Bd6 Nd2 Nc6 O-O-O Bf5 Nb3 Re8 c5 Bg4 f3 Be6 Bxf6+ gxf6 cxd6 Bxb3 axb3 cxd6 Rxd6+ Kc7 Rxf6 Rxe3 Ba6 Re1+ Kc2 Nd4+ Kd2 Rb1 Rxf7+ Kc6 Bb7+ Kb5 Bxa8 Rxb2+ Kc3 Rxb3+ Kxd4 Rb4+ Kd5 a5 Ra7 a4 Bc6#,A50,Queen's Indian Accelerated,4.0,152.67866666666666
24,X4ZYw4g1,1.0,20.0,resign,black,5+5,ura81,1571.0,khemar,1897.0,e4 e6 d4 d5 Nc3 Nf6 e5 Nfd7 Nf3 c5 Bf4 Nc6 b3 cxd4 Nxd4 Bb4 Qd2 Qa5 Nxc6 bxc6,C11,French Defense: Classical Variation |  Steinitz Variation,7.0,20.680333333333333
25,SihLByhR,1.0,78.0,resign,black,3+8,poblet,1716.0,chessed321,1464.0,e4 e5 Nf3 Nc6 Bc4 d6 d4 exd4 O-O Bg4 a3 Bxf3 Qxf3 Nf6 Qb3 Na5 Qb5+ c6 Qb4 Nxc4 Qxc4 d5 exd5 Qxd5 Re1+ Be7 Nd2 Qxc4 Nxc4 O-O Rxe7 Rfe8 Rxe8+ Rxe8 Bg5 h6 Bxf6 gxf6 Kf1 b5 Nd2 c5 Re1 Rd8 f3 c4 Kf2 f5 g3 a6 Re5 f4 g4 Rd6 h4 f6 Rf5 d3 c3 Kf7 Rxf4 Re6 Re4 Rd6 Ke3 Rc6 Kd4 Rd6+ Kc5 Rd8 f4 Rg8 f5 h5 Rd4 hxg4 Rd8 Rxd8,C50,Italian Game,5.0,149.38066666666666
26,0g91ENS0,0.0,73.0,resign,white,20+0,radar_1652,1500.0,flafel26,1587.0,e4 c5 Nf3 Nc6 Bb5 Nf6 Bxc6 bxc6 e5 Ng4 h3 Nxe5 Nxe5 d6 Nd3 c4 Nf4 g5 Ne2 Bg7 c3 Bb7 d4 c5 Bxg5 Bxg2 Rg1 Bxh3 dxc5 d5 Nd4 h6 Nc6 Qc7 Bxe7 Qxc6 Bd6 Rg8 Qe2+ Kd7 Qe7+ Kc8 Qxf7 Bxc3+ Nxc3 Rxg1+ Ke2 Bg4+ f3 Bxf3+ Kxf3 Rxa1 Nb5 d4+ Ke2 Qg2+ Qf2 Qxf2+ Kxf2 d3 Ke3 Re1+ Kd2 Re6 Nc7 Rxd6 Nxa8 Kb7 cxd6 Kxa8 d7 Kb8 d8=Q+,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5.0,99.7505
27,Wue3sNJ6,1.0,149.0,outoftime,white,10+0,hatem60010,1421.0,leatherback,1468.0,e4 e6 Nf3 d5 d4 dxe4 Ng5 Nf6 Qe2 Nc6 Be3 Be7 c3 O-O Bd2 Qd5 Nxe4 Nxe4 Qc4 Qxc4 Bxc4 Nxd2 Nxd2 Rd8 O-O Na5 Bb5 c5 Rad1 cxd4 cxd4 Bf6 Nf3 a6 Be2 b5 b4 Nc6 Rc1 Nxd4 Nxd4 Bxd4 Rc7 g6 Rd1 e5 Kf1 Bf5 g4 Be4 f3 Bd5 f4 exf4 Rxd4 Bxa2 Rxf4 Rd2 Rf2 Bc4 Bxc4 bxc4 Rfxf7 Rd1+ Kg2 Rd2+ Kh3 Rd3+ Kh4 c3 Rg7+ Kf8 Rxh7 Kg8 Rcg7+ Kf8 Rf7+ Kg8 Rhg7+ Kh8 Rc7 c2 Rxg6 Rg8 Rgc6 Rg7 Rxc2 Rh7+ Kg5 Rd5+ Kg6 Rd6+ Kg5 Rg7+ Kf5 Rxc7 Rxc7 Rh6 Rc8+ Kg7 Rc7+ Kf8 Kg5 Rxh2 Kf6 Rf2+ Ke6 Re2+ Kf5 Rf2+ Kg5 Rb2 Rc4 Kf7 Kf5 Ke7 g5 Kf7 g6+ Kg7 Rc7+ Kg8 g7 Rxb4 Kf6 Rb6+ Kg5 Rb5+ Kg6 Rb6+ Kf5 Rb5+ Ke6 Rb6+ Kd5 Rb5+ Kc6 Rg5 Kb6 a5 Kc6 a4 Kd6 a3 Ra7 a2 Rxa2 Rxg7 Ra8+,C01,French Defense: Perseus Gambit,5.0,205.98516666666666
28,tUOZivwN,1.0,65.0,resign,white,8+2,khemar,1909.0,pparla,1406.0,d4 d5 Nf3 Nc6 Bf4 Nf6 c3 Bg4 Nbd2 h6 h3 Bxf3 Nxf3 Nh5 Bh2 e6 e3 Bd6 Bb5 O-O Bxc6 bxc6 Ne5 Bxe5 Qxh5 Bd6 Bxd6 Qxd6 g4 c5 g5 hxg5 Qxg5 f6 Qg6 cxd4 Rg1 Rf7 exd4 Qh2 Qg3 Qxg3 Rxg3 Rb8 b3 a6 Ke2 f5 f4 Rf6 Rag1 Rf7 Rg6 Re8 h4 Kh7 h5 Rf6 Rxg7+ Kh6 Rxc7 Kxh5 Rcg7 Kh6 R7g5,D02,Queen's Pawn Game: Chigorin Variation,4.0,60.79183333333334
29,diDbOfF7,1.0,15.0,resign,white,15+0,rezasamimifar1380,1576.0,austindecoder,910.0,e3 g5 h4 gxh4 Rxh4 Nf6 b3 Rhg8 Bb2 Rg5 Qf3 e5 Nh3 Qe7 Nxg5,A00,Van't Kruijs Opening,1.0,51.038666666666664
30,RchXwB9Y,1.0,33.0,resign,white,180+180,reza_zabihie,1908.0,towhen,1479.0,e4 e5 d3 d6 c4 c5 Nc3 Nc6 f4 f5 fxe5 fxe4 dxe4 dxe5 Qxd8+ Kxd8 Nf3 Nf6 Ng5 Ke7 Nd5+ Ke8 Nc7+ Kd7 Nxa8 Ng4 h3 Ne3 Bxe3 Kd6 Nf7+ Ke7 Nxh8,C20,King's Pawn Game: Leonardis Variation,3.0,147.894
31,2hGmmMjh,0.0,,resign,black,60+0,thefrenchtactics,1365.0,mostafaflower,1881.0,e4 e5 Bc4 Nc6 Nf3 Bc5 b4 Bxb4 c3 Bc5 d4 exd4 cxd4 Bb4+ Bd2 Nge7 Bxb4 Nxb4 O-O O-O Nc3 d5 Nxd5 Nexd5 exd5 Nxd5 Ne5 Be6 Re1 Qg5 Rc1 c6 h3 Bxh3 Kf1 Qxg2+ Ke2 Qe4+ Kd2 Qxd4+,C51,Italian Game: Evans Gambit |  Harding Variation,15.0,55.916
32,BDMZoMQC,1.0,9.0,mate,white,10+0,ttfer_1521,1476.0,element4life,1173.0,e4 e5 Qh5 Nc6 Bc4 g6 Qf3 Bh6 Qxf7#,C20,King's Pawn Game: Wayward Queen Attack,3.0,12.588166666666666
33,vbc92z3L,1.0,30.0,resign,white,5+10,isidorotegi,2076.0,david453,1712.0,d4 d5 c4 Nf6 Nf3 Nc6 e3 e6 Nc3 Bd7 Be2 dxc4 Bxc4 Bb4 O-O Bxc3 bxc3 Na5 Be2 Bc6 Ba3 Ne4 Qc2 Nf6 Nd2 Qd5 Bf3 Qd6 Bxd6 Bxf3,D06,Queen's Gambit Refused: Marshall Defense,4.0,21.725833333333334
35,TAJtb4qg,1.0,46.0,resign,black,10+4,pikur,1834.0,tori92,1994.0,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Bc5 O-O d6 Bxc6+ bxc6 d4 exd4 Nxd4 Ne7 Bg5 Bb7 Nc3 O-O Nf5 f6 Be3 Bxe3 fxe3 Ng6 Qg4 Rfe8 h4 Qd7 Rad1 Ne5 Qg3 Kh8 h5 Qf7 h6 gxh6 Nxh6 Qg6 Qh4 Re6 Rf5 Kg7 Rh5 Nf3+,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8.0,91.40116666666667
36,ss7aEbZy,1.0,35.0,resign,white,7+8,voodooo,1296.0,chunkymonkey,1241.0,Nf3 e6 Nc3 Qe7 h3 e5 e4 Qd6 a3 Be7 Nb5 Qb6 Nxe5 Bh4 Qf3 f6 Bc4 Nh6 Qh5+ Kf8 Qxh4 Qc5 d4 Qe7 Bxh6 fxe5 Bg5 Qf7 Bxf7 Kxf7 dxe5 d6 Qf4+ Ke8 Nxc7+,A04,Zukertort Opening: Queen's Gambit Invitation,2.0,98.32833333333333
38,JI6g3u6f,1.0,102.0,resign,black,10+0,stitch_13,1212.0,talisman159,1946.0,d3 e5 c3 d5 Bd2 Bd6 b3 Be6 a3 f6 Nf3 Ne7 Bc1 Qd7 Nbd2 c6 d4 e4 Nxe4 dxe4 Nd2 f5 Nc4 Bxc4 bxc4 Bc7 Be3 Qe6 Qa4 b6 d5 Qd7 Bg5 c5 Qxd7+ Nxd7 Bxe7 Kxe7 Rd1 Be5 d6+ Ke6 e3 Bxc3+ Ke2 Rhd8 g3 Ne5 Bh3 g6 Rc1 Bb2 Rb1 Bxa3 Rhd1 Rxd6 Rxd6+ Kxd6 Ra1 Bb4 Ra4 a5 Ra2 Rd8 Ra1 Nxc4 Rd1+ Kc7 Rc1 Rd2+ Kf1 Ne5 Kg2 Nd3 Rc4 Nxf2 g4 Nxg4+ Kg3 Nxe3 Rc1 Nd5 Bf1 a4 Ba6 a3 Bc4 Kd6 Bxd5 Kxd5 Ra1 a2 Rxa2 Rxa2 Kf4 Rxh2 Kg5 Bd2+ Kf6 b5 Kg7 b4,A00,Mieses Opening: Reversed Rat,2.0,79.79866666666666
39,FXGSmH7e,1.0,67.0,resign,white,15+5,dogmang,1650.0,marronnes,1695.0,Nc3 e5 e4 Nf6 Bc4 Nc6 d3 Bb4 Nf3 O-O O-O d6 Nd5 Be6 Bd2 a5 c3 Bc5 Bg5 Bxd5 exd5 Na7 d4 exd4 cxd4 Bb6 Re1 h6 Bf4 Nh5 Bd2 Qd7 Bd3 Rae8 Qb3 Qg4 h3 Qd7 Qc4 Nc8 Rxe8 Rxe8 Bc2 Qd8 Ba4 Re7 Rc1 Nf6 Qb3 Ne4 Be3 Kh8 Nh4 c5 dxc6 Re6 cxb7 Na7 d5 Nc5 Bxc5 dxc5 dxe6 f5 e7 Qb8 Qf7,C28,Bishop's Opening: Vienna Hybrid,7.0,302.7373333333333
40,OWcyS6vt,1.0,28.0,resign,black,10+5,rubikstein,1581.0,odisei62,1514.0,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nb3 Nf6 Nc3 Bb4 Bd2 O-O Qf3 Nd4 Nxd4 exd4 Nd5 Bxd2+ Kxd2 Nxd5 exd5 d6 Re1 Qa5+ Kc1 Qxe1+,B33,Sicilian Defense: Lasker-Pelikan Variation |  Schlechter Variation,11.0,38.38516666666667
41,oYRCJIcm,1.0,95.0,outoftime,white,5+5,chess-wander,1744.0,yazeed_bani_saleem,1772.0,d4 d5 c4 Nf6 Nf3 Bg4 Nc3 e6 a3 c5 Ne5 Nc6 Qa4 dxc4 Bg5 cxd4 Ne4 Bf5 Nxc6 bxc6 Qxc6+ Ke7 Bxf6+ gxf6 Nc5 Rc8 Qb7+ Rc7 Qb4 Ke8 Qb5+ Ke7 Na6 Rd7 Qc5+ Ke8 Qxc4 e5 g3 Be6 Qc6 Bd5 Qb5 Bxh1 Bh3 e4 Rc1 Ke7 Qb4+ Ke8 Qb5 Ke7 Bxd7 Qxd7 Rc7 Qxc7 Nxc7 Bh6 Qc5+ Kd7 Nd5 d3 Qc7+ Ke6 Qc6+ Kf5 Qxf6+ Kg4 h3+ Kxh3 Qh4+ Kg2 exd3 exd3 Qe4+ Kg1 Qxd3 Re8+ Kd1 Bxd5 Qxd5 Kxf2 Qc5+ Be3 Qf5+ Kxg3 Qxf7 Rd8+ Kc2 Rd2+ Kb3 Rh2 Qc7+ Kf2 Qxh2+,D06,Queen's Gambit Refused: Marshall Defense,4.0,167.9955
42,VMry8u17,0.0,52.0,resign,white,10+0,levp,1500.0,dogmang,1326.0,e4 h5 Nc3 f6 d4 Nh6 Be2 g6 Bxh5 gxh5 Qxh5+ Nf7 Qg6 Rh6 Bxh6 Bxh6 Nf3 e6 O-O Bg5 h4 Bf4 g3 f5 Qg8+ Ke7 Qxd8+ Kxd8 gxf4 fxe4 Nxe4 Na6 Nfg5 Nh8 a3 c5 dxc5 e5 fxe5 Ng6 Rad1 Nxe5 Rfe1 Nf3+ Nxf3 d5 Rxd5+ Bd7 Ne5 Nxc5 Nxc5 Rc8,B00,Goldsmith Defense,2.0,88.34033333333333
43,i6e1avWA,1.0,120.0,mate,black,15+0,zhaska,1695.0,canadave,1679.0,d4 d5 c4 Nc6 Nf3 e6 a3 Nf6 Nc3 Ne4 e3 Nxc3 bxc3 Be7 cxd5 exd5 c4 Be6 cxd5 Qxd5 Qc2 Bg4 Bc4 Qd6 Qe4 h5 h3 f5 Qe6 Bxf3 Qf7+ Kd7 gxf3 Raf8 Qe6+ Qxe6 Bxe6+ Kxe6 e4 fxe4 d5+ Kxd5 fxe4+ Kxe4 Bb2 Bf6 Bxf6 Rxf6 O-O-O Rxf2 Rhe1+ Kf3 Rd3+ Kg2 Ree3 Kf1 Rd1+ Kg2 Rdd3 Kf1 Rg3 Ne5 Rde3 Re8 Rg5 Re2 Rf5+ Ke1 Rg3 Rf2 Rg1+ Ke2 Rxh5 Rf1+ Kb2 Rxg1 Rh7 Rg8 h4 Rh1 h5 c5 Kc3 b5 Kb3 Rb1+ Kc2 Ra1 Kb2 Rh1 Kc3 b4+ axb4 cxb4+ Kxb4 Rb1+ Kc5 a5 Kd5 Ng4 Kc4 a4 Kd4 a3 Ke4 a2 Kf4 Nf6 Kg5 Rb6 h6 Nxh7+ Kh5 a1=Q Kg4 Qd4+ Kh3 Rg6 Kh2 Qh4#,D07,Queen's Gambit Refused: Chigorin Defense,4.0,275.95883333333336
